TranslatedRecipeName,Spice Tolerance,Dietary Preference
Cheesy Potato Peas Potli Recipe,Spicy,Vegetarian
Pudina Rice Recipe,Spicy,Vegetarian
Sugar Free Pineapple Dates Cake Recipe,Non-Spicy,Non-Vegetarian
Kathal Masaledar Sabzi Recipe - Jackfruit Masala Sabzi,Spicy,Vegetarian
Delicious Breakfast Anda Ghotala Recipe With Butter Pav,Spicy,Non-Vegetarian
Achari Aloo Sabzi Recipe - Potatoes In Spicy Pickle Masala,Spicy,Vegetarian
Panjiri Ladoo Recipe,Spicy,Vegetarian
Palak Paneer Bhurji Recipe -Spiced Cottage Cheese Scramble With Spinach Recipe,Spicy,Vegetarian
Fujian Style Green Vegetables Stir Fry Recipe,Spicy,Vegetarian
Petha Wadi Sabzi Recipe,Spicy,Vegetarian
Jain Style Dal Makhani Recipe,Spicy,Non-Vegetarian
Adraki Rajma Masala Recipe - Rajma Masala Recipe,Spicy,Non-Vegetarian
Muesli Banana Fritters Recipe,Non-Spicy,Vegetarian
Canadian Egg Free Butter Tart Recipe (Eggless),Spicy,Vegetarian
Beet Carrot and Apple Salad in Orange Mustard Vinaigrette Recipe,Spicy,Vegetarian
Mango Tomato Bean Salsa Recipe,Spicy,Non-Vegetarian
Guacamole Soup Recipe - Spiced Avocado Soup,Spicy,Vegetarian
High Protein Soya Idli & Dosa Batter Recipe,Non-Spicy,Vegetarian
"Bread, Paneer & Potato Instant Vada Recipe",Spicy,Vegetarian
Carrot Beet Amaranth Super Salad Recipe,Non-Spicy,Vegetarian
Paneer Kundan With Recipe,Spicy,Vegetarian
Rajasthani Govind Gatta Curry Recipe,Spicy,Vegetarian
Maheri Recipe,Spicy,Vegetarian
Tamatar Wali Arbi Sabzi Recipe,Spicy,Vegetarian
Achari Paratha Roll Recipe,Spicy,Vegetarian
Garlic Spinach Balls Recipe,Spicy,Vegetarian
Carrot Matar Paratha Recipe,Spicy,Vegetarian
Eggplant Potato Alkaline Broth Recipe,Spicy,Non-Vegetarian
Steamed Sweet Corn Recipe Flavored with Chaat Masala Recipe,Spicy,Vegetarian
Jalapeno Potato Cheese Balls Recipe With Four Pepper Cheese Dip,Spicy,Non-Vegetarian
Banana-Almond Butter Bread Recipe,Non-Spicy,Non-Vegetarian
Masala Akki Roti Recipe - Spicy Rice Flour Flatbread,Spicy,Vegetarian
Eggless Wholewheat And Custard Powder Coconut Cookies Recipe,Spicy,Vegetarian
Oats And Date Cookie Recipe,Spicy,Vegetarian
Kongunadu Special Pattani Biryani Recipe (Green Peas Biryani From Kongunadu),Spicy,Vegetarian
Jowar Garlic Naan Recipe- Healthy Sorghum Naan,Spicy,Vegetarian
Allahabadi Tehri Recipe (UP Style Vegetable Rice),Spicy,Vegetarian
Asian Style Honey Chicken With Vegetables Recipe,Spicy,Non-Vegetarian
Kale Chane Ki Kadhi Recipe - Black Chickpea Kadhi,Spicy,Vegetarian
Chicken Burrito Recipe,Spicy,Non-Vegetarian
Healthy Fresh Vegetable Salad Bowl with Sour Yogurt Dressing Recipe,Spicy,Vegetarian
Badam Nu Gosht Recipe - Parsi Style Mutton In Almond Gravy,Spicy,Non-Vegetarian
Homemade Whole Wheat Pav Recipe / Ladi Pav,Non-Spicy,Vegetarian
"Whole Wheat Pizza With Egg, Bell Peppers And Fresh Basil Recipe",Spicy,Non-Vegetarian
Gorikayi Palya Recipe - Karnataka Style Gawar Phali Sabzi,Spicy,Vegetarian
Zucchini Zoodles with mushroom Meatball Recipe,Spicy,Vegetarian
Pakistani Style Tinde Ki Tarkari Recipe - Apple Gourds Cooked With Tomatoes,Spicy,Vegetarian
Fruit Chili Chutney - Andhra Red Chili Chutney Recipe,Spicy,Vegetarian
Potato Bonda Recipe Flavoured With Sambar Powder,Spicy,Vegetarian
Leftover Carrot Cake Mini Trifle Recipe,Non-Spicy,Vegetarian
Vendakkai Poriyal Recipe (South Indian Style Okra Stir Fry Spiced With Sambar Powder),Spicy,Vegetarian
Raw Banana Dosa Recipe,Non-Spicy,Vegetarian
Traditional Steamed Modak Recipe (Ukadiche Modak With Rice flour),Spicy,Vegetarian
Cabbage Besan Fry Recipe,Spicy,Vegetarian
Indian Style Fajitas Recipe,Spicy,Vegetarian
Homemade Tagliatelle Pasta with Capers and Bell peppers Recipe,Spicy,Non-Vegetarian
Jeera Rice Recipe - Cumin And Ghee Flavored Rice,Non-Spicy,Vegetarian
Broccoli With Lemon Butter Sauce Recipe,Spicy,Vegetarian
Paasi Paruppu Beans Poriyal Recipe - Moong Dal & French Beans Stir Fry,Spicy,Vegetarian
Buckwheat and Oatmeal Chocochip Pancakes Recipe (Eggless),Non-Spicy,Vegetarian
Banana Cream Pie Recipe,Non-Spicy,Non-Vegetarian
Raw Jackfruit Kofta Curry Recipe - Kathal Kofta Curry Recipe,Spicy,Vegetarian
Vegetable Biryani Recipe With Chatpata Aloo,Spicy,Vegetarian
Farali Aaloo Pattice Recipe,Spicy,Vegetarian
Himachali Pahari Mutton Recipe,Spicy,Non-Vegetarian
Lagan Ki Machli Recipe - Delicious Pomfret Curry,Spicy,Non-Vegetarian
North Arcot Special Greens Rava Puliyodharai Recipe - Broken Wheat / Dalia Puliogare,Non-Spicy,Vegetarian
Chow-Chow Kothamalli Chutney Recipe - Chayote Coriander Chutney,Spicy,Vegetarian
Gujarati Style Multigrain Masala Kadak Puri Recipe - Masala Mathri,Spicy,Vegetarian
Ringan Methi Nu Shaak Recipe - Gujarati Style Eggplant & Fenugreek Leaves Sabzi,Spicy,Non-Vegetarian
Dahi Baingan Recipe - Brinjal In Curd Based Gravy,Spicy,Non-Vegetarian
Assamese Saaru Maas Diya Adar Jhol Recipe - Fish In Ginger Gravy,Spicy,Non-Vegetarian
Manipuri Style Sana Thongpa Recipe-Paneer and Green Beans in Milk Gravy Recipe,Non-Spicy,Vegetarian
Chocolate Honeycomb Bun Recipe,Spicy,Vegetarian
Creamy Potato Egg Salad Recipe with Herbs,Spicy,Non-Vegetarian
Brinjal Mor Kuzhambu Recipe,Spicy,Non-Vegetarian
Arbi Ke Kebab Recipe (Spicy Colocasia Kebab) Recipe,Spicy,Vegetarian
No Bake Rice Mawa Cake Recipe,Spicy,Vegetarian
Gravel-til Bhakri Recipe (Cesme Crusted Barge Flobard),Non-Spicy,Vegetarian
Doodanche Fov Recipe (Goan Style Milk Beaten Rice/Poha In Milk),Non-Spicy,Vegetarian
Egg and Cheesy Garlic Mayo Sandwich,Spicy,Non-Vegetarian
Recipe Wheat Phulka Yeast- Diabetic Friendly Baker's Yeast,Spicy,Vegetarian
Grapes Muffin Recipe,Non-Spicy,Non-Vegetarian
Karnataka Style Bassaru Palya Recipe - Toor Dal And Dill Leaves Stir Fry,Spicy,Vegetarian
Karwar Style Phodni Phov Recipe- Red Rice Poha With Cashew Nuts,Spicy,Vegetarian
Chinese Bhel Recipe - Crispy Noodle Salad,Spicy,Vegetarian
Cauliflower And Peas Bhurji Recipe,Spicy,Vegetarian
Murgh Ajmeri Recipe,Spicy,Non-Vegetarian
Eggless Banana Pressure Cooker Cake Recipe,Non-Spicy,Vegetarian
Waldorf Salad Recipe,Spicy,Vegetarian
Vegan Cashew Mayonnaise Recipe,Non-Spicy,Vegetarian
Aam Ki Kheer Recipe - Mango Coconut Payasam Recipe,Non-Spicy,Vegetarian
Buddha's Delight Recipe (Thin Rice Noodles With Vegetables),Spicy,Vegetarian
Lemon Coconut Chia Energy Balls Recipe,Non-Spicy,Vegetarian
Bhugi Dal Paratha Recipe - Moong Dal Paratha,Spicy,Vegetarian
Thai Cucumber Relish Recipe,Spicy,Vegetarian
Kashmiri Style Gushtaba Recipe - Mutton Kofta in Curd,Non-Spicy,Non-Vegetarian
Gujarati Wadi Casserole Recipe,Spicy,Vegetarian
Raw Banana Cutlet Recipe - No Onion No Garlic Jain Cutlet,Spicy,Vegetarian
Carrot Paruppu Usili Recipe - Steamed Lentils Crumbled With Carrots,Spicy,Vegetarian
Rose Buns With Stuffed Mushroom Recipe,Spicy,Vegetarian
Scrambled Paneer Sandwich Recipe,Spicy,Vegetarian
Stuffed Chicken Recipe With Mixed Vegetables,Spicy,Non-Vegetarian
Black Bean Soup With Mojo Recipe,Spicy,Vegetarian
Eggs Benedict With Caramelised Onion And Hollandaise Sauce Recipe,Spicy,Non-Vegetarian
Guava And Papaya Mimosa Drink Recipe,Non-Spicy,Vegetarian
Crunchy Vegetables Tortilla Wrap Recipe,Spicy,Vegetarian
Veggie Pearl Millet Tart Recipe,Spicy,Vegetarian
Bharwa Baingan Aur Pyaaz Ki Sabzi Recipe - Roz Ka Khana With Figaro Olive Oil,Spicy,Non-Vegetarian
Skillet Potato And Eggs Recipe,Spicy,Non-Vegetarian
Dahi Suran Ki Sabzi Recipe (Stir Fried Yam in Dry Yogurt Curry Recipe),Spicy,Vegetarian
Aloo Tikki Stuffed Pita Sandwich Recipe,Spicy,Vegetarian
Delicious Spicy Chyawanprash Cookies Recipe,Spicy,Vegetarian
Goan Style Tonak Alsanyache Recipe (Black eyed beans cooked in Tonak Masala Recipe),Spicy,Vegetarian
Avarekalu Tikki Recipe,Spicy,Vegetarian
Egg Stuffed Paratha Recipe,Spicy,Non-Vegetarian
Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi,Spicy,Vegetarian
Andhra Style Pappu Charu Recipe (Lentil Soup Style Curry),Spicy,Vegetarian
"Peas, Corn & Paneer Savory Hand Pies Recipe",Spicy,Vegetarian
Coconut Banana Oatmeal Porridge Recipe,Non-Spicy,Vegetarian
Cucumber Sandwich With Yogurt Dill Spread Recipe,Spicy,Vegetarian
Chettinad Beetroot Kurma Recipe,Spicy,Vegetarian
Palak Chole Recipe (Spinach & Chickpea Curry),Spicy,Vegetarian
Spinach Stir Fry Recipe With Garlic,Spicy,Vegetarian
Chickpea Tamarind Broth Recipe - Tolerant South Indian Gala Sana Surri,Spicy,Vegetarian
Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe),Spicy,Vegetarian
Corn And Bell Pepper Sandwich Recipe,Spicy,Vegetarian
Enduri Pitha With Mango Twist Recipe,Spicy,Vegetarian
Matar Masala Recipe - Peas In Onion Tomato Gravy,Spicy,Vegetarian
Aloo Gajar Matar Sabzi Recipe,Spicy,Vegetarian
Tangy Tomato Pie Tart Recipe,Spicy,Vegetarian
Pudlangai Porial Recipe - Snake Gourd Porial Recipe,Spicy,Vegetarian
Posto Chicken Recipe - Bengali Chicken In Poppy Seed Paste,Spicy,Non-Vegetarian
Kasuri Methi Mach Recipe - Dry Fenugreek Flavoured Fish Curry,Non-Spicy,Non-Vegetarian
Kerala Style Christmas Plum Cake Recipe,Non-Spicy,Non-Vegetarian
Kerala Style Chemmeen Moilee Recipe - Prawn Curry,Spicy,Non-Vegetarian
Mullu Murukku Recipe - Chakli Recipe - South Indian Snack,Spicy,Vegetarian
Thai Fish Cake Recipe,Spicy,Non-Vegetarian
Millet Potato Paratha Recipe,Spicy,Vegetarian
Crunchy Carrot Peanut Raita Recipe - Gajar Moongphali Raita,Spicy,Vegetarian
Egg In A Biscuit Recipe,Non-Spicy,Non-Vegetarian
Baked Potato & Peas Samosa With Phyllo Pastry Recipe,Spicy,Vegetarian
Eggless Baked Chocolate Chip Coins Recipe,Non-Spicy,Vegetarian
Carrot Lemon Rice Recipe,Spicy,Vegetarian
Whole Wheat Homemade English Muffins Recipe,Spicy,Vegetarian
Roasted Vegetable Flan Recipe In Herbed Sauce,Spicy,Non-Vegetarian
Mushroom Biryani Recipe,Spicy,Vegetarian
Gawar Ki Sabzi Recipe - Cluster Beans Curry,Spicy,Vegetarian
Curried Couscous Recipe,Non-Spicy,Vegetarian
Gujarati Style Lapsi Recipe - Millet Sweet Pudding,Spicy,Vegetarian
Chilli Egg In Soya Sauce Recipe,Spicy,Non-Vegetarian
Kale & Leeks Frittata Recipe,Spicy,Non-Vegetarian
Moong Sprouts And Sweet Potato Cutlet Recipe,Spicy,Vegetarian
Andhra Style Allam Pachadi (Ginger Chutney Recipe),Spicy,Vegetarian
Croquettes Recipe With Bhetki Fish,Spicy,Non-Vegetarian
Sagu Masala Dosa Recipe,Spicy,Vegetarian
Mediterranean Tomato Basil Sandwich Recipe With Sweet Piquant� Pepper,Spicy,Vegetarian
Vegetable Coconut Milk Soup With Vermicelli Noodles Recipe,Spicy,Vegetarian
Methi Pakoras Recipe,Spicy,Vegetarian
Spinach Dates & Banana Smoothie Recipe,Non-Spicy,Vegetarian
Milagu Jeera Curry Leaf Sadam Recipe,Spicy,Vegetarian
Chettinad Egg Paniyaram Recipe | Rise Paniyaram Recipe,Spicy,Non-Vegetarian
Healthy Vegetable Poha Cutlet Recipe -Vegetable Beaten Rice Patty,Spicy,Vegetarian
Evergreen Smoothie Recipe,Non-Spicy,Vegetarian
Chocolate Nutella Lava Cookies Recipe,Non-Spicy,Non-Vegetarian
Rasgulla custard pudding recipe,Non-Spicy,Vegetarian
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,Spicy,Vegetarian
Vanilla Flavored Kunafa Recipe,Spicy,Vegetarian
Karwar Style Madgane Recipe With Oats & Rajgira,Spicy,Vegetarian
Leftover Dal Paratha Recipe,Spicy,Vegetarian
Punjabi Kadhi Pakora Recipe - Delicious Punjabi Kadhi,Spicy,Vegetarian
Carrot Cake Parfait With Custard And Strawberries Recipe,Spicy,Non-Vegetarian
Herbed Vegetables In Roasted Bell Pepper Sauce Recipe,Spicy,Vegetarian
Prawns Coconut Curry Recipe,Spicy,Non-Vegetarian
Lauki Wadi Tarkari Recipe - Bengali Style Moong Dal Dumplings & Bottle Gourd Sabzi,Spicy,Vegetarian
Red Lentil Curry Without Coconut Recipe,Spicy,Vegetarian
Aloo Gobi Sabzi Recipe - Potato And Cauliflower Dry Curry,Spicy,Vegetarian
Semia Pudding Recipe - Vermicelli Kheer Recipe,Spicy,Vegetarian
Raw Mango Dhokla Recipe Topped With Sweet Mango Chutney,Spicy,Vegetarian
No Onion No Garlic Lauki Paneer Kofta Curry Recipe,Spicy,Vegetarian
Rajasthani Style Mutton Banjara Recipe,Spicy,Non-Vegetarian
Ulundagorai - Spicy Urad Dal Flavored Rice (For Prashad & Naivedyam) Recipe,Spicy,Vegetarian
Creamy Radish Soup Recipe With Sweet Potato,Spicy,Vegetarian
Crispy Chicken Nuggets Recipe - KFC Style,Spicy,Non-Vegetarian
Light And Healthy Spinach Soup Recipe,Spicy,Vegetarian
Malwani Pumpkin And Raw Mango Curry Recipe,Spicy,Vegetarian
Sweet Chili & Orange Chicken Recipe,Spicy,Non-Vegetarian
Kashmiri Style Chaman Recipe-Qaliya Cottage Cheese Curry,Non-Spicy,Vegetarian
Focaccia Bread with Sweet Onion and Capers Recipe,Non-Spicy,Vegetarian
Baked Bhakarwadi Recipe,Spicy,Vegetarian
Gul Poli Recipe (Maharashtrian Jaggery & Sesame Stuffed Flatbread),Spicy,Vegetarian
Vatana Bateta Na Rotla Recipe - Gujarati Peas and Potato Roti,Spicy,Vegetarian
Mutton Chaap Recipe - Slow Cooked Lamb Chops,Spicy,Non-Vegetarian
Lemongrass Tofu and Vegetable Curry Recipe,Spicy,Vegetarian
Ghee Tooria Per Eda Recipe - Parsi Style Ridge Gourd With Fried Eggs,Spicy,Non-Vegetarian
Milagai Podi Uthappam Recipe - Spicy Chilli Powder Pancake Recipe,Spicy,Vegetarian
Rajasthani Steel White Mass Recipe,Spicy,Non-Vegetarian
Eggless Rich Chocolate Brownies Recipe,Non-Spicy,Vegetarian
Chilled Sweet & Sour Cucumber Noodle Salad Recipe,Spicy,Vegetarian
Cucumber Neer Dosa Recipe-Rice Pancake,Spicy,Vegetarian
Eggless Chocolate Chip And Honey Cookies Recipe,Non-Spicy,Vegetarian
Rajasthani Mirchi Bada Recipe - Chilli Fritters,Spicy,Vegetarian
Andhra Style Bangaladumpa Vepudu Recipe - Potato Fry Recipe,Spicy,Vegetarian
Avocado Cheese Chilli Toast Recipe,Spicy,Non-Vegetarian
Indian Spiced Brussel Sprouts Sabzi Recipe (Brussel Sprouts Stir Fry),Spicy,Vegetarian
Moong Matar Kebab Recipe - Green Lentil And Peas Kebab,Spicy,Vegetarian
Pomegranate Sauce Recipe,Spicy,Vegetarian
Gluten-Free Mango and Coconut Milk Ice-Cream Recipe,Non-Spicy,Vegetarian
Polenta Pizza With Vegetables Recipe,Spicy,Vegetarian
Baby Corn and Green Peas Sabzi Recipe,Spicy,Vegetarian
Roasted Eggplant Parmigiana Recipe,Spicy,Non-Vegetarian
Karnataka Style Kashi Halwa Recipe With Ash Gourd,Spicy,Vegetarian
Veg Tunday Kabab Recipe,Spicy,Vegetarian
Kesar Pista Kulfi Recipe,Non-Spicy,Vegetarian
Crispy Balak Pagora Recipe - Made in the pit paniyaram pan,Spicy,Vegetarian
Shehenshahi Parsi Keema Pulao Recipe,Spicy,Non-Vegetarian
Sorakkai Puli Kuzhambu Recipe - Tangy Bottle Gourd Curry,Non-Spicy,Vegetarian
Coriander Garlic Baked Chicken Recipe,Spicy,Non-Vegetarian
Coconut French Toast with Chocolate Chips Recipe,Spicy,Non-Vegetarian
Roasted Bell Pepper Rasam Recipe,Spicy,Vegetarian
Gingerbread Pancake Recipe,Non-Spicy,Non-Vegetarian
Punjabi Style Lobia Masala Recipe (Black Eyed Peas Masala),Spicy,Vegetarian
Roasted Peppers And Mushroom Tortilla Pizza Recipe,Spicy,Vegetarian
Red Chilli Pesto & Roasted Tomato Spaghetti Pasta Recipe,Spicy,Vegetarian
Upar Ghee Laddu Recipe - Whole Wheat Flour & Banana Squares,Non-Spicy,Vegetarian
Mangalorean Neer Dosa Recipe-Savory Rice & Coconut Crepe,Spicy,Vegetarian
Andhra Style Munakkada Masala Kura Recipe - Drumstick Dry Curry Recipe,Spicy,Vegetarian
Kasuri methi leaves recipe,Spicy,Vegetarian
Dal Vangi Recipe - Spicy Lentils with Roasted Eggplant,Spicy,Non-Vegetarian
Karupatti Coffee Recipe,Spicy,Vegetarian
Pasta In Tomato Onion Chutney Recipe,Spicy,Vegetarian
Minced Meat And Egg Croquettes Recipe,Spicy,Non-Vegetarian
Whole Wheat Beetroot Paratha Recipe,Spicy,Vegetarian
Karwar Style Khatkhate Recipe (Mixed Vegetable Curry With Toor Dal & Coconut),Spicy,Vegetarian
Khatti Meethi Mirchi Ki Sabzi Recipe,Spicy,Vegetarian
Cold Pasta Salad With Potatoes And Green Peas Recipe,Spicy,Non-Vegetarian
Chocolate Toast Recipe Topped With Pumpkin & Sunflower Seeds,Spicy,Vegetarian
Bihari Suran Chutney Recipe (Bihar Style Elephant Yam Chutney),Spicy,Vegetarian
Chicken And Basil Quiche Recipe,Spicy,Non-Vegetarian
Spinach and Dill Tart With Roasted Peppers Recipe,Spicy,Vegetarian
Besan methi paratha recipe,Spicy,Vegetarian
Palak Kichadi Recipe,Spicy,Vegetarian
Paneer Onion Paratha Recipe,Spicy,Vegetarian
Spicy Coconut Peanut Stuffed Baby Brinjal Recipe,Spicy,Non-Vegetarian
Zoodles In Tomato And Cashew Cream Sauce Recipe (Vegan),Spicy,Vegetarian
Andhra Style Erra Kaaram Dosa Recipe (Spicy Red Chilli Chutney Dosa Recipe),Spicy,Vegetarian
Bengali Posto Porota Recipe (Spiced Poppy Seed Parathas),Spicy,Vegetarian
Lemon Chicken Chicken Recipe - Chicken with Gandharaja Lemon & Green Chili,Spicy,Non-Vegetarian
Spinach Egg Muffins Recipe,Spicy,Non-Vegetarian
Thai Green Curry with Chicken & Red Rice Recipe,Spicy,Non-Vegetarian
Butter Coriander & Lemon Sweet Corn Recipe,Spicy,Vegetarian
Kashmiri Style Dum Oluv Recipe - Dum Aloo Recipe,Spicy,Vegetarian
Tamil Nadu Style Karamani Murungakkai Kuzhambu Recipe-Black eyed Beans & Drumstick Curry,Spicy,Vegetarian
Karwar Style Lasani Kadhi Recipe - Kokum And Coconut Milk Curry,Spicy,Vegetarian
Pudina Mavinakayi Chutney Recipe - Mint Mango Chutney,Spicy,Vegetarian
Crispy Potato Roses Recipe,Spicy,Vegetarian
Goan Sweet Khatkhati Recipe (Coconut Candy),Non-Spicy,Vegetarian
Goan Prawns Vindaloo Recipe,Spicy,Non-Vegetarian
Spicy Haryana Style Egg Curry Recipe,Spicy,Non-Vegetarian
Achari Amla Mirchi Vegetable Recipe - Gooseberry & Green Chilli Vegetable,Spicy,Vegetarian
Mughlai Style Aloo Matar Gobi Gravy Recipe,Spicy,Vegetarian
Kimami Sewai Recipe,Spicy,Vegetarian
 Chammanthi Chutney Recipe,Spicy,Vegetarian
Red Beans And Oats Cutlet Recipe,Spicy,Non-Vegetarian
Cantonese Style Chicken Chowmein Recipe,Spicy,Non-Vegetarian
Milk Braid Rolls Recipe,Spicy,Non-Vegetarian
Chilli Chocolate Cookies Recipe,Spicy,Non-Vegetarian
Proven�al Tomato Rice Soup Recipe,Spicy,Vegetarian
Aloo Subz Dum Biryani Recipe,Spicy,Vegetarian
Mushroom filled Vol-au-Vent Recipe,Spicy,Vegetarian
Tomato Poha With Peas Recipe,Spicy,Vegetarian
Methi Sprouts Salad Recipe - Healthy & Tasty Diabetic Snack,Spicy,Vegetarian
Lebanese Style Caramelized Onion Pilaf with Fried eggs Recipe,Spicy,Non-Vegetarian
Thai Style Paneer Toast Recipe,Spicy,Non-Vegetarian
Sprouted Moong Chaat Recipe,Spicy,Vegetarian
Hunase Saaru Recipe - Mysore Style Spicy Tamarind Rasam,Spicy,Vegetarian
Eggless Custard Cookie Recipe,Non-Spicy,Vegetarian
Egg Dosa Recipe,Spicy,Non-Vegetarian
Sweet Potato Balls Recipe Stuffed With Cheesy Garlic Mayo Recipe,Spicy,Vegetarian
Baked Palak Ki Mathri Recipe (Baked Spinach Spicy Tea-Time Crackers),Non-Spicy,Vegetarian
Mixed Vegetable Handi Recipe,Spicy,Vegetarian
Frozen Royal Crumb Recipe,Non-Spicy,Vegetarian
Macha Mahura Recipe - Odia Style Fish Curry With Vegetables,Spicy,Non-Vegetarian
Amarod Wright Recipe - Guava Wright,Spicy,Vegetarian
Roasted Pumpkin Spinach and Walnut Spaghetti Recipe,Spicy,Vegetarian
Oat Banana Pancakes Recipe,Spicy,Vegetarian
Mutton Dum Biryani Recipe,Spicy,Non-Vegetarian
Pita Saga Bati Basa Recipe,Spicy,Non-Vegetarian
Mint Coriander Spice Pulao Recipe,Spicy,Vegetarian
Maharashtrian Green Chilli Thecha Recipe,Spicy,Vegetarian
Tart Provencal With Ratatouille Recipe,Spicy,Non-Vegetarian
Chettinad Kathirikai Chops Recipe - Brinjal Curry for Biryani,Spicy,Non-Vegetarian
Shanghai Style Mantou Recipe - Pan Fried Momos,Spicy,Vegetarian
Karnataka Style Southekayi Sippe Chutney Recipe (Mangalore Cucumber Peel Chutney Recipe),Spicy,Vegetarian
Savory Semolina Breakfast Pudding Recipe,Spicy,Vegetarian
Masala Dosa Recipe With Vegetable Filling Recipe,Spicy,Vegetarian
Almond Nu Gosht Recipe - Badam Nu Gosht Recipe,Spicy,Non-Vegetarian
Mizoram Style Arsa Beipenek Recipe  - Spicy Chicken Stew,Spicy,Non-Vegetarian
Konkan Style Modachia Mangachi MT Recipe-Sprouted Mong Bean Curry,Spicy,Vegetarian
Pudina Tambuli Recipe,Spicy,Vegetarian
Eggless Spicy Spinach Bread Recipe,Spicy,Vegetarian
Palak Makki Ki Roti Recipe - Spicy Spinach Cornmeal Flatbread Recipe),Spicy,Vegetarian
Egg White Frittata With Roasted Vegetables Recipe,Spicy,Non-Vegetarian
Aloo Dal Pakoras Recipe,Spicy,Vegetarian
Roasted Potato Wrap/Roll Recipe With Spiced Cheese Spread,Spicy,Vegetarian
Vankaya Ulli Karam Recipe - Eggplant In Spicy Onion Gravy,Spicy,Non-Vegetarian
Vetrilai Thogayal Recipe - Paan Chutney Recipe,Spicy,Vegetarian
Batata Nu Shaak Recipe,Spicy,Vegetarian
Spicy Jawla Stuffed In Brinjal Recipe,Spicy,Non-Vegetarian
Verkadalai Sundal- Peanut Sundal Recipe,Spicy,Vegetarian
Paneer Raw Mango Curry Recipe,Spicy,Vegetarian
Badam and Khus Khus Milk Recipe,Non-Spicy,Vegetarian
Bhut Jolokia Murgh Recipe,Spicy,Non-Vegetarian
"Cauliflower Crust Pizza With Pesto, Sundried Tomatoes & Goat Cheese",Spicy,Non-Vegetarian
Chicken Tomato Macaroni Recipe- Pasta with Indian Masalas,Spicy,Non-Vegetarian
Vegetarian Laksa Curry Recipe,Spicy,Vegetarian
Hara Pyaz Paratha Recipe - Spring Onion Paratha Recipe,Spicy,Vegetarian
Shahi Dal Recipe,Spicy,Vegetarian
Buttered Carrot Fingers Recipe (Finger Food For Babies Over 9 Months),Spicy,Vegetarian
Palak Paratha Recipe-Spiced Spinach Flatbread,Spicy,Vegetarian
Avocado Chocolate Pancakes Recipe,Spicy,Vegetarian
Paneer Kalimirch Recipe (Paneer in Black Pepper flavored Gravy),Spicy,Vegetarian
Homemade Summer Pasta Salad Recipe With Herbs,Spicy,Vegetarian
Murungai Keera Masala Vada Recipe - Murungai Keerai Masala Vadai Recipe,Spicy,Vegetarian
Kadai Egg Masala Recipe,Spicy,Non-Vegetarian
Karnataka Style Ranjaka Recipe (Red Chili Chutney Recipe),Spicy,Vegetarian
Carrot Idli Recipe,Spicy,Vegetarian
 Spring Onion & Roasted Garlic Brown Rice Recipe,Non-Spicy,Vegetarian
Lemon Pudina Curry Leaf Shikanji Recipe in Hindi,Spicy,Vegetarian
Bread Halwa Recipe,Non-Spicy,Vegetarian
Singhade Ka Achar Recipe (Water Chestnut Pickle),Spicy,Vegetarian
Prawns Theeyal Recipe (Chemeen Theeyal),Spicy,Non-Vegetarian
Beetroot Chutney Recipe,Spicy,Vegetarian
Bengali Style Chingri Macher Cutlet Recipe (Prawn Cutlet),Spicy,Non-Vegetarian
Angaya Podi Recipe,Spicy,Non-Vegetarian
 Carrot And Capsicum Mix Dal Recipe,Spicy,Vegetarian
Delhi Style Fruit Chaat Recipe -Homemade Kulle Chaat Of North India,Spicy,Vegetarian
Mamidikaya Pappu Recipe - Andhra Pappu - Raw Mango Dal,Spicy,Vegetarian
 Easy Creamy Chicken Curry Recipe,Spicy,Non-Vegetarian
Pumpkin Thoran Recipe - South Indian Pumpkin Sabzi,Spicy,Vegetarian
 Potato Vindaloo Recipe,Spicy,Vegetarian
Green Chutney Recipe - Coriander Mint Chutney Recipe,Spicy,Vegetarian
Panchmel Dal Recipe | Rajasthani Dal | Panchkuti Dal,Spicy,Vegetarian
Garlic Mint Chutney Recipe,Spicy,Vegetarian
Chicken Vindaloo Recipe,Spicy,Non-Vegetarian
Sweet Potato & Methi Stuffed Paratha Recipe,Spicy,Vegetarian
Karela Muthia Recipe - Bitter Gourd Steamed Dumplings,Spicy,Vegetarian
Rich Chocolate Cheesecake Recipe,Spicy,Non-Vegetarian
Thai Style Fried Bananas Recipe,Non-Spicy,Vegetarian
Pohala Jhola Recipe (Pohala Fish Curry),Spicy,Non-Vegetarian
Assamese Bilahir Tok Recipe,Spicy,Vegetarian
Misa Maas Kordoi Tenga Recipe (Shrimp With Star Fruit Curry),Spicy,Non-Vegetarian
Karnataka Style Menthya Soppu Hesaru Kaalu Palya Recipe,Spicy,Vegetarian
Macaroni With Tahini Sauce Recipe,Spicy,Vegetarian
Thayir Vada Recipe (Spicy Fritter Soaked In Sweet Yogurt Recipe),Spicy,Vegetarian
Paneer Methi Paratha Recipe,Spicy,Vegetarian
Pahari Style Phanu Recipe - Pahadi Style Phanu Recipe,Spicy,Vegetarian
Tandoori Chicken Crostini Recipe,Spicy,Non-Vegetarian
Gujarati Dhokla Pizza Recipe,Spicy,Vegetarian
